datetime.utcnow;Btn_name;Action;In_Time_Interval;end_effecto_entering;end_effectorreceived_socket;end_effector_leaving
2021-02-04 15:18:24.077299,Btn2,pressed,True,"['2021-02-04 15:18:23.949213', 0.10005146414703318, -0.45022445337502676, 0.15024112477534715]","[datetime.datetime(2021, 2, 4, 15, 18, 24, 77299), 0.10004355231831141, -0.45018885071010084, 0.1477902652474004]","['2021-02-04 15:18:24.953977', 0.09995139222096744, -0.44977413684414597, 0.16035782783734678]"
2021-02-04 15:18:27.539537,Btn1,pressed,True,"['2021-02-04 15:18:27.449339', -0.050038378561761, -0.45021594854365815, 0.14897911815140807]","[datetime.datetime(2021, 2, 4, 15, 18, 27, 539537), -0.050038378561761, -0.45021594854365815, 0.14897911815140807]","['2021-02-04 15:18:28.355089', -0.04997816756273627, -0.44988876632320063, 0.15572815613537036]"
2021-02-04 15:18:31.043325,Btn2,pressed,True,"['2021-02-04 15:18:30.847300', 0.09986955625504682, -0.4502964895824901, 0.15289843772871137]","[datetime.datetime(2021, 2, 4, 15, 18, 31, 43325), 0.09980150847352807, -0.4501755129562519, 0.1478303083928251]","['2021-02-04 15:18:31.856561', 0.0996865896020081, -0.44980575377947546, 0.15879877970103645]"
2021-02-04 15:18:34.495350,Btn1,pressed,True,"['2021-02-04 15:18:34.347231', -0.05004945247995617, -0.4503155851572934, 0.1511375708027138]","[datetime.datetime(2021, 2, 4, 15, 18, 34, 495350), -0.05003000691710113, -0.4502121974262597, 0.1470949968211144]","['2021-02-04 15:18:35.364596', -0.04991786514318629, -0.44984676640628063, 0.15802856344254881]"
2021-02-04 15:18:37.940672,Btn2,pressed,True,"['2021-02-04 15:18:37.847235', 0.09998822981442812, -0.45023675199167035, 0.14976015906192583]","[datetime.datetime(2021, 2, 4, 15, 18, 37, 940672), 0.09998822981442812, -0.45023675199167035, 0.14976015906192583]","['2021-02-04 15:18:38.858178', 0.09987052665061272, -0.44978092976120254, 0.16108542539315102]"
2021-02-04 15:18:41.446785,Btn1,pressed,True,"['2021-02-04 15:18:41.247289', -0.050042709518146815, -0.450326506144113, 0.15167313918674954]","[datetime.datetime(2021, 2, 4, 15, 18, 41, 446785), -0.05003055388827089, -0.45021711953420357, 0.14779372614405004]","['2021-02-04 15:18:42.263222', -0.049939013007081846, -0.44982248030109667, 0.15804111100693746]"
2021-02-04 15:18:44.925928,Btn2,pressed,True,"['2021-02-04 15:18:44.747640', 0.09992724847699956, -0.45022204957405493, 0.15025223654201758]","[datetime.datetime(2021, 2, 4, 15, 18, 44, 925928), 0.09989141402007211, -0.4501348777715055, 0.14718704801246166]","['2021-02-04 15:18:45.753522', 0.09980489295493108, -0.44978210964844695, 0.1610592701348991]"
2021-02-04 15:18:48.373232,Btn1,pressed,True,"['2021-02-04 15:18:48.147261', -0.05004794262138651, -0.45030200033660295, 0.15352611347475076]","[datetime.datetime(2021, 2, 4, 15, 18, 48, 373232), -0.050036450314281784, -0.45019859930491773, 0.14650700793875424]","['2021-02-04 15:18:49.147536', -0.04998107362297515, -0.44977185437639056, 0.1610952826229495]"
2021-02-04 15:18:51.767968,Btn2,pressed,True,"['2021-02-04 15:18:51.547329', 0.10003843201132752, -0.45031426184956497, 0.15474241359760527]","[datetime.datetime(2021, 2, 4, 15, 18, 51, 767968), 0.09996578101119093, -0.4501356673313485, 0.14717418254739942]","['2021-02-04 15:18:52.552195', 0.09990477811441466, -0.4498609775385278, 0.15511143469212282]"
2021-02-04 15:18:55.264466,Btn1,pressed,True,"['2021-02-04 15:18:55.147294', -0.05004621442067659, -0.4502864510011379, 0.14971071049488682]","[datetime.datetime(2021, 2, 4, 15, 18, 55, 264466), -0.050032478268513876, -0.45016286116941107, 0.1463441252016667]","['2021-02-04 15:18:56.070157', -0.049985743626270916, -0.4498138790045117, 0.15803930155327015]"
2021-02-04 15:18:58.744399,Btn2,pressed,True,"['2021-02-04 15:18:58.547635', 0.10008527626155542, -0.4502281770965391, 0.15235863558282814]","[datetime.datetime(2021, 2, 4, 15, 18, 58, 744399), 0.10006264980781747, -0.4501634831917804, 0.14859115117270794]","['2021-02-04 15:18:59.553258', 0.0999191805790676, -0.4497774619454618, 0.1603397478436665]"
2021-02-04 15:19:02.195267,Btn1,pressed,True,"['2021-02-04 15:19:02.049629', -0.05003988225390509, -0.4503010640358598, 0.15015950778292148]","[datetime.datetime(2021, 2, 4, 15, 19, 2, 195267), -0.050033691679143996, -0.4502453560228219, 0.14673136916886867]","['2021-02-04 15:19:03.057234', -0.04991556191654918, -0.4498260103294361, 0.16106749607621026]"
2021-02-04 15:19:05.647313,Btn2,pressed,True,"['2021-02-04 15:19:05.547573', 0.09994145376942577, -0.4501746190758709, 0.14783040306401868]","[datetime.datetime(2021, 2, 4, 15, 19, 5, 647313), 0.09994145376942577, -0.4501746190758709, 0.14783040306401868]","['2021-02-04 15:19:06.449246', 0.09984612631452071, -0.44978233055140293, 0.15660334927611586]"
2021-02-04 15:19:09.136233,Btn1,pressed,True,"['2021-02-04 15:19:08.949358', -0.05005037106493524, -0.4503238500457125, 0.15353569911165202]","[datetime.datetime(2021, 2, 4, 15, 19, 9, 136233), -0.05003319108761053, -0.450240851278093, 0.14814143698581136]","['2021-02-04 15:19:09.953611', -0.049940313698806145, -0.44990579725174273, 0.15572669618308999]"
