datetime.utcnow;Btn_name;Action;In_Time_Interval;end_effecto_entering;end_effectorreceived_socket;end_effector_leaving
2021-02-02 17:47:02.507257,Btn2,pressed,True,"['2021-02-02 17:47:01.765913', 0.10024668519974704, -0.4502864154440491, 0.151662767787187]","[datetime.datetime(2021, 2, 2, 17, 46, 53, 695618), 0.10022490158442475, -0.4500774670179002, 0.14584394242864054]","['2021-02-02 17:47:02.772377', 0.10015063962178689, -0.44974398067299953, 0.163250649145779]"
2021-02-02 17:47:06.003745,Btn1,pressed,True,"['2021-02-02 17:47:05.265897', -0.050046718966738575, -0.450290990610345, 0.14972494831015512]","[datetime.datetime(2021, 2, 2, 17, 47, 2, 507257), -0.049958116957517194, -0.45013783360153703, 0.1462551123194882]","['2021-02-02 17:47:06.270153', -0.049924298966984165, -0.4498331232186687, 0.16176061824109703]"
2021-02-02 17:47:09.520865,Btn2,pressed,True,"['2021-02-02 17:47:08.665869', 0.0999415639056204, -0.4502865477134422, 0.15417499527595946]","[datetime.datetime(2021, 2, 2, 17, 47, 6, 3745), 0.09982885218179588, -0.44996435343281505, 0.1477408085562616]","['2021-02-02 17:47:09.669199', 0.09978932548570747, -0.4497861924713631, 0.15881210074016067]"
2021-02-02 17:47:12.982190,Btn1,pressed,True,"['2021-02-02 17:47:12.165929', -0.050047256412436424, -0.4502958262314449, 0.15418177252440238]","[datetime.datetime(2021, 2, 2, 17, 47, 9, 520865), -0.05000074107191474, -0.4500203912995484, 0.14767973686238664]","['2021-02-02 17:47:13.169236', -0.04997686882387732, -0.44980553451679245, 0.16032965889325998]"
2021-02-02 17:47:16.372464,Btn2,pressed,True,"['2021-02-02 17:47:15.666049', 0.09984541853965799, -0.4502620076245867, 0.15175052081964924]","[datetime.datetime(2021, 2, 2, 17, 47, 12, 982190), 0.09973962775112477, -0.45004507247596687, 0.14692023923970374]","['2021-02-02 17:47:16.568081', 0.09969429791678697, -0.44984053523165696, 0.15584418227040758]"
2021-02-02 17:47:19.875793,Btn1,pressed,True,"['2021-02-02 17:47:19.067720', -0.05005195808047085, -0.45033812907950677, 0.15164622568271535]","[datetime.datetime(2021, 2, 2, 17, 47, 16, 372464), -0.05000208057724142, -0.45003244721508456, 0.14765602853652038]","['2021-02-02 17:47:20.069132', -0.049970399633023785, -0.4498188417047049, 0.16029805783395182]"
2021-02-02 17:47:23.281260,Btn2,pressed,True,"['2021-02-02 17:47:22.573310', 0.09983688687756077, -0.45022353331743337, 0.15073446988339695]","[datetime.datetime(2021, 2, 2, 17, 47, 19, 875793), 0.0997435373684149, -0.4500627134481628, 0.14590341421442274]","['2021-02-02 17:47:23.473160', 0.09969799202673524, -0.4498572037917567, 0.15580871101325192]"
2021-02-02 17:47:26.867242,Btn1,pressed,True,"['2021-02-02 17:47:25.965913', -0.050049166253252994, -0.45031300985768374, 0.15418026946112112]","[datetime.datetime(2021, 2, 2, 17, 47, 23, 281260), -0.04992230838706728, -0.44995845056483386, 0.15216393616960414]","['2021-02-02 17:47:26.965871', -0.04991145130001673, -0.44986059375080395, 0.15802390968863375]"
2021-02-02 17:47:30.228552,Btn2,pressed,True,"['2021-02-02 17:47:29.469914', 0.09991550006886009, -0.45028057319670217, 0.15172008721852537]","[datetime.datetime(2021, 2, 2, 17, 47, 26, 867242), 0.09986695945416582, -0.4501732738870622, 0.14514229000242498]","['2021-02-02 17:47:30.465863', 0.09977010989749145, -0.4497367022491981, 0.16188057887670254]"
2021-02-02 17:47:33.755222,Btn1,pressed,True,"['2021-02-02 17:47:32.965852', -0.05004539815904555, -0.4502791067583383, 0.1506762025950854]","[datetime.datetime(2021, 2, 2, 17, 47, 32, 996377), -0.049982511951899095, -0.44992787323650185, 0.1510576069211842]","['2021-02-02 17:47:33.873239', -0.049978720025552155, -0.4498937394309977, 0.15574718405537644]"
2021-02-02 17:47:37.124018,Btn2,pressed,True,"['2021-02-02 17:47:36.365838', 0.09998609802336587, -0.4502642842861582, 0.15172664172451053]","[datetime.datetime(2021, 2, 2, 17, 47, 33, 755222), 0.09993439044204994, -0.45017993881610047, 0.14513262200444932]","['2021-02-02 17:47:37.373235', 0.09984492752401844, -0.4497769302938382, 0.16035718151861197]"
2021-02-02 17:47:40.669318,Btn1,pressed,True,"['2021-02-02 17:47:39.866762', -0.05005104942585076, -0.4503299535387856, 0.15166204209875475]","[datetime.datetime(2021, 2, 2, 17, 47, 37, 124018), -0.04999183336492452, -0.45001178185515756, 0.14993232859649888]","['2021-02-02 17:47:40.873002', -0.04996257982177741, -0.449819993027225, 0.16030596186915513]"
2021-02-02 17:47:44.039141,Btn2,pressed,True,"['2021-02-02 17:47:43.269238', 0.10001395831174162, -0.45027833853417953, 0.1541654919305757]","[datetime.datetime(2021, 2, 2, 17, 47, 40, 669318), 0.09990882392196726, -0.4501018999206572, 0.1450071515205064]","['2021-02-02 17:47:44.271742', 0.09984420600676562, -0.44981078803184754, 0.15728020649273344]"
2021-02-02 17:47:47.575220,Btn1,pressed,True,"['2021-02-02 17:47:46.765846', -0.050044896123530525, -0.4502745897375622, 0.1506762081079893]","[datetime.datetime(2021, 2, 2, 17, 47, 44, 39141), -0.05000659204413147, -0.4500014906513532, 0.14909774418534413]","['2021-02-02 17:47:47.772248', -0.04998000925339761, -0.44983379924409017, 0.1572446520962444]"
