datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-26 16:56:19.972962;Btn2;pressed;True
2021-01-26 16:56:22.989496;Btn1;pressed;True
2021-01-26 16:56:26.131227;Btn2;pressed;True
2021-01-26 16:56:28.864206;Btn1;pressed;True
2021-01-26 16:56:32.085508;Btn2;pressed;True
2021-01-26 16:56:34.980446;Btn1;pressed;True
2021-01-26 16:56:38.236581;Btn2;pressed;True
2021-01-26 16:56:41.049951;Btn1;pressed;True
2021-01-26 16:56:44.247234;Btn2;pressed;True
2021-01-26 16:56:47.055246;Btn1;pressed;True
2021-01-26 16:56:50.168464;Btn2;pressed;True
2021-01-26 16:56:53.022615;Btn1;pressed;True
2021-01-26 16:56:56.175211;Btn2;pressed;True
2021-01-26 16:56:58.924687;Btn1;pressed;True
2021-01-26 16:57:02.069436;Btn2;pressed;True
2021-01-26 16:57:04.934742;Btn1;pressed;True
2021-01-26 16:57:08.026293;Btn2;pressed;True
2021-01-26 16:57:10.989065;Btn1;pressed;True
2021-01-26 16:57:14.251226;Btn2;pressed;True
2021-01-26 16:57:17.108792;Btn1;pressed;True
2021-01-26 16:57:20.247277;Btn2;pressed;True
2021-01-26 16:57:23.136829;Btn1;pressed;True
2021-01-26 16:57:26.323638;Btn2;pressed;True
2021-01-26 16:57:29.146001;Btn1;pressed;True
2021-01-26 16:57:32.282232;Btn2;pressed;True
2021-01-26 16:57:35.181912;Btn1;pressed;True
2021-01-26 16:57:38.331427;Btn2;pressed;True
2021-01-26 16:57:41.125472;Btn1;pressed;True
2021-01-26 16:57:44.215429;Btn2;pressed;True
2021-01-26 16:57:47.106593;Btn1;pressed;True
2021-01-26 16:57:50.061445;Btn2;pressed;True
2021-01-26 16:57:52.899062;Btn1;pressed;True
2021-01-26 16:57:55.995749;Btn2;pressed;True
2021-01-26 16:57:59.079231;Btn1;pressed;True
2021-01-26 16:58:02.159242;Btn2;pressed;True
2021-01-26 16:58:05.147681;Btn1;pressed;True
2021-01-26 16:58:08.211210;Btn2;pressed;True
2021-01-26 16:58:10.977396;Btn1;pressed;True
2021-01-26 16:58:14.139251;Btn2;pressed;True
2021-01-26 16:58:17.028145;Btn1;pressed;True
2021-01-26 16:58:20.129587;Btn2;pressed;True
2021-01-26 16:58:23.050775;Btn1;pressed;True
2021-01-26 16:58:26.320263;Btn2;pressed;True
